unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,E,LU	-2.1 	-4.0 	-4.9 	-6.3 	-9.8 	-14.0 	-17.7 	-21.0 	: 	: 	: 
PC,E,LV	21.8 	18.9 	15.8 	15.4 	19.4 	15.3 	14.6 	11.5 	: 	: 	: 
PC,E,ME	: 	: 	: 	7.1 	: 	: 	: 	: 	: 	: 	: 
PC,E,MK	: 	: 	: 	3.8 	: 	: 	: 	: 	: 	: 	: 
PC,E,MT	5.6 	7.1 	11.5 	11.6 	5.3 	2.5 	-0.3 	-3.1 	3.5 	4.7 	: 
PC,E,NL	0.6 	1.1 	2.2 	2.2 	3.0 	1.8 	3.2 	15.8 	15.3 	20.7 	: 
PC,E,NO	-2.6 	-3.9 	-3.2 	-2.9 	0.5 	-2.7 	0.8 	-0.5 	0.2 	1.9 	: 
PC,E,PL	-4.3 p	-4.3 	-2.4 	-0.4 	0.2 	0.7 	1.2 	1.6 	3.2 	4.7 	6.3 
PC,E,PT	-8.7 	-8.9 	-8.8 	-7.9 	-6.6 	-5.8 	-12.1 	-5.0 	-8.0 	-6.7 	2.1 
PC,E,RO	-0.1 e	-2 e	-2.6 e	-5.0 	-11.3 	-2.6 	-0.5 	-5.3 	2.4 d	7.1 d	14.4 d
PC,E,RS	: 	: 	: 	0.5 	: 	: 	: 	: 	: 	: 	: 
PC,E,SE	-2.8 	-2.8 	-2.2 	0.6 	-0.5 	-0.7 	0.6 	2.8 	2.0 	2.0 	: 
PC,E,SI	-10.3 	-11.1 	-9.8 	-11.6 	-8.3 	-12.6 	-15.6 	-16.3 	-16.8 	-14.7 	-15.1 
PC,E,SK	-3.6 	-5.6 	-8.1 	-6.5 	-3.3 	-1.5 	-2.4 	-9.1 	-2.0 	-5.7 	: 
PC,E,TR	: 	: 	: 	3.3 	: 	: 	: 	: 	: 	: 	: 
PC,E,UK	-0.5 p	-1.3 	-1.1 	-0.7 	-0.4 	-0.7 	-0.5 	-4.1 b	-8.9 	-2.5 	-0.3 
PC,F,AT	6.7 	6.8 	8.0 	8.2 	: 	: 	: 	9.9 	: 	: 	: 
PC,F,BE	-7.5 	-7.1 	-6.9 	-6.6 	-5.3 	-4.0 	-2.8 	-1.6 	-1.2 	-0.6 	0.0 
PC,F,BG	-13.9 	-13.0 	-10.7 	-8.2 	-8.4 	-6.0 	-8.0 	-4.6 	-4.3 	-10.3 	-15.6 
PC,F,CH	6.2 	6.4 	6.7 	7.7 	8.4 	8.6 	8.7 	8.9 	7.7 d	7.8 d	: 
PC,F,CY	8.7 	8.8 	9.2 	8.8 	8.7 	10.0 	14.7 	16.4 	15.3 	16.5 	: 
PC,F,CZ	11.6 	12.4 	9.9 	9.7 	10.5 	9.0 	8.5 	6.1 	11.3 	8.6 	: 
PC,F,DE	13.1 p	12.9 p	13.6 p	13.4 	13.8 	15.4 	13.0 	12.7 	13.2 	13.5 	13.2 
PC,F,DK	10.1 	9.5 	10.6 	10.0 	10.9 	12.4 	9.8 	13.0 	12.6 	12.3 	: 
PC,F,EE	16.5 	15.8 	19.5 	17.8 	23.5 	22.3 	19.1 	19.3 	21.1 	22.6 	: 
PC,F,EL	: 	: 	: 	6.3 	: 	: 	: 	1.8 	: 	: 	: 
PC,F,ES	1.7 p	1.7 	3.3 	-3.5 	5.0 	4.5 	4.5 	3.0 	3.3 	2.9 	3.2 
PC,F,FI	0.6 p	1.8 	2.5 	5.6 	5.7 	6.0 	7.3 	7.6 	8.1 	8.6 	: 
PC,F,FR	-5.8 p	-5.8 p	-5.6 	-5.4 	-6.2 	-7.4 	-8.4 	-9.1 	-6.7 	-4.7 	: 
PC,F,HR	-15.8 	-11.7 	: 	-24.5 	-28.3 	: 	: 	-21.8 	: 	: 	: 
PC,F,HU	-7.6 p	-11.5 	-18.7 	-17.9 	-12.7 	-12.8 	-12.4 	-11.4 	-15.3 	-13.2 	: 
PC,F,IE	: 	: 	: 	30.9 	31.8 	30.1 	28.9 	2.8 	11.0 	-11.9 	: 
PC,F,IS	-7.3 u	-11.2 u	1.0 u	0.2 u	-2.3 u	-12.9 u	-9.1 u	-18.6 u	-27.3 u	-11.9 u	-6.6 u
PC,F,IT	: c	: c	: c	9.9 	: c	: c	: c	-0.6 	: 	: 	: 
PC,F,LT	0.2 	1.6 	3.0 	2.2 	-1.2 	-0.7 	0.7 	-9.1 b	-0.5 	6.9 	16.6 
PC,F,LU	-0.7 	-0.6 	-0.6 	-0.6 	-1.7 	-4.0 	-6.4 	-7.7 u	-7.3 	-7.0 	-6.6 
PC,F,LV	-0.1 	5.3 	3.0 	1.3 	0.4 	0.2 	-0.6 	2.8 	: 	: 	: 
PC,F,ME	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
PC,F,MK	: 	: 	: 	-2.6 	: 	: 	: 	: 	: 	: 	: 
PC,F,MT	-33.4 	-15.9 	-12.4 	-6.7 	-3.6 	-2.0 	0.8 	7.3 	3.5 	1.8 	: 
PC,F,NL	10.5 	11.6 	13.0 	12.8 	13.2 	14.2 	15.3 	17.1 	17.5 	18.7 	: 
PC,F,NO	-4.8 	-4.3 	-3.7 	1.6 	1.1 	0.9 	2.0 	3.7 	6.2 	4.3 	: 
PC,F,PL	-14.8 p	-14.8 	-13.1 	-11.4 	-10.8 	-10.3 	-10.3 	-10.3 	-7.8 	-5.2 	-2.7 
PC,F,PT	-8.4 	-6.2 	-7.1 	-5.4 	-11.1 	-9.3 	-12.3 	-20.2 	-20.3 	-20.3 	-20.4 
PC,F,RO	-20.9 e	-20.5 e	-24.2 e	-26.1 	-24.8 	-20.8 	-20.1 	-20.1 	-19.8 d	-10.9 d	-9 d
PC,F,RS	: 	: 	: 	-3.4 	: 	: 	: 	: 	: 	: 	: 
PC,F,SE	-1.7 	-1.4 	2.4 	-2.2 	1.1 	4.3 	2.8 	1.9 	3.9 	4.6 	: 
PC,F,SI	-20.8 	-22.3 	-20.9 	-21.0 	-20.6 	-21.9 	-21.4 	-24.8 	-28.7 	-24.1 	-19.6 
PC,F,SK	4.8 	2.5 	4.2 	8.2 	5.1 	8.8 	1.5 	4.6 	9.1 	8.7 	: 
PC,F,TR	: 	: 	: 	-23.7 	: 	: 	: 	: 	: 	: 	: 
PC,F,UK	13.9 p	17.8 	14.1 	18.3 	22.0 	22.3 	20.3 	25.1 b	20.7 	17.0 	14.3 
PC,G,AT	21.5 	21.9 	22.7 	23.4 	: 	: 	: 	27.5 	: 	: 	: 
PC,G,BE	12.0 	12.0 	12.1 	12.1 	13.3 	14.6 	15.6 	17.1 	17.6 	18.2 	18.6 
PC,G,BG	13.6 	14.4 	15.7 	14.0 	11.9 	12.3 	9.6 	11.8 	14.5 	14.4 	10.7 
PC,G,CH	21.7 	21.6 	21.9 	22.3 	22.9 	23.1 	23.4 	27.3 	27.1 d	27.1 d	: 
PC,G,CY	22.7 	23.1 	23.5 	23.6 	25.4 	28.7 	30.5 	31.2 	31.7 	32.7 	: 
PC,G,CZ	24.6 	25.4 	27.7 	26.7 	25.8 	26.0 	27.9 	28.4 	34.1 	34.9 	: 
PC,G,DE	23.7 p	22.7 p	23 p	24.6 	24.2 	25.8 	24.9 	25.1 	25.1 	25.3 	25.3 
PC,G,DK	17.8 	19.0 	18.5 	19.4 	20.8 	19.9 	22.3 	21.5 	21.0 	22.2 	: 
PC,G,EE	31.6 	32.7 	37.7 	37.5 	38.0 	38.5 	37.6 	37.0 	35.5 	34.3 	: 
PC,G,EL	: 	: 	: 	18.3 	: 	: 	: 	17.6 	: 	: 	: 
PC,G,ES	23.3 p	23.3 	21.5 	21.8 	25.6 	25.9 	26.5 	23.5 	23.7 	23.2 	24.0 
PC,G,FI	20 p	21.0 	20.0 	20.0 	22.5 	23.0 	22.5 	22.7 	22.0 	24.5 	: 
PC,G,FR	15.7 p	15.4 p	15.3 	15.7 	17.1 	18.5 	19.9 	22.0 	22.0 	23.0 	: 
PC,G,HR	24.3 	18.8 	: 	21.3 	20.1 	: 	: 	12.6 	: 	: 	: 
PC,G,HU	17.3 p	20.7 	16.6 	19.8 	14.8 	15.7 	11.9 	15.8 	17.5 	16.3 	: 
PC,G,IE	: 	: 	: 	20.7 	22.0 	21.9 	22.4 	23.7 	18.8 	22.0 	: 
PC,G,IS	17.3 	18.3 	19.5 	18.3 	18.1 	18.4 	19.2 	20.6 	23.4 	22.3 	25.8 
PC,G,IT	15.2 p	16.3 	16.8 	17.3 	18.6 	: c	15.7 	15.5 	: 	: 	: 
PC,G,LT	21.0 	24.4 	24.0 	22.6 	22.0 	20.0 	19.2 	18.5 b	26.9 	26.1 	29.2 
PC,G,LU	22.0 	22.7 	21.8 	21.8 	21.8 	23.3 	25.0 	27.0 	26.9 	26.8 	26.6 
PC,G,LV	24.2 	20.1 	23.4 	24.4 	23.5 	23.1 	21.9 	26.3 	: 	: 	: 
PC,G,ME	: 	: 	: 	16.3 	: 	: 	: 	: 	: 	: 	: 
PC,G,MK	: 	: 	: 	21.4 	: 	: 	: 	: 	: 	: 	: 
PC,G,MT	20.1 	19.1 	19.5 	18.7 	22.0 	24.6 	27.6 	29.9 	28.2 	28.4 	: 
PC,G,NL	25.7 	26.3 	25.9 	26.0 	26.3 	26.8 	27.9 	17.2 	17.8 	18.4 	: 
PC,G,NO	17.8 	18.0 	18.0 	17.2 	17.7 	18.0 	18.0 	18.9 	20.4 	21.4 	: 
PC,G,PL	27 p	27.0 	27.9 	28.8 	26.6 	24.4 	25.6 	26.7 	26.8 	26.9 	27.0 
PC,G,PT	16.0 	20.1 	20.9 	20.6 	20.2 	20.2 	20.5 	23.7 	22.0 	24.4 	23.8 
PC,G,RO	11.8 e	13.6 e	13 e	9.0 	7.0 	10.5 	10.1 	12.3 	11 d	14.6 d	13.7 d
PC,G,RS	: 	: 	: 	11.1 	: 	: 	: 	: 	: 	: 	: 
PC,G,SE	13.4 	13.8 	14.5 	11.9 	12.1 	12.6 	14.4 	14.2 	14.6 	17.1 	: 
PC,G,SI	16.8 	16.5 	16.2 	15.9 	14.2 	13.5 	13.1 	11.3 	13.3 	15.4 	14.8 
PC,G,SK	31.1 	28.6 	29.3 	25.5 	25.9 	27.8 	26.4 	28.0 	28.5 	24.2 	: 
PC,G,TR	: 	: 	: 	8.3 	: 	: 	: 	: 	: 	: 	: 
PC,G,UK	22.2 p	21.4 	23.1 	24.9 	25.5 	26.7 	25.0 	28 b	26.5 	27.3 	27.1 
PC,H,AT	10.0 	9.4 	10.3 	10.6 	: 	: 	: 	7.3 	: 	: 	: 
PC,H,BE	5.0 	5.3 	5.6 	5.6 	5.3 	4.9 	4.5 	4.1 	4.6 	5.0 	5.5 
PC,H,BG	2.9 	3.4 	4.2 	4.5 	8.2 	12.3 	14.5 	16.3 	12.6 	15.3 	14.0 
PC,H,CH	13.3 	13.3 	13.2 	12.8 	13.1 	13.4 	13.1 	13.7 	19.1 d	19.2 d	: 
PC,H,CY	32.1 	32.2 	30.6 	31.0 	32.0 	32.6 	34.2 	36.8 	41.6 	38.8 	: 
PC,H,CZ	3.7 	2.9 	1.6 	0.5 	0.0 	-0.3 	1.8 	3.5 	8.2 	8.8 	: 
PC,H,DE	6.4 p	6.7 p	7 p	5.6 	5.3 	7.3 	5.0 	3.9 	4.9 	6.4 	7.2 
PC,H,DK	8.8 	10.7 	10.5 	10.9 	11.0 	11.7 	12.2 	13.8 	15.9 	17.1 	: 
PC,H,EE	8.5 	2.1 	4.7 	14.6 	9.7 	8.6 	11.6 	14.7 	16.3 	18.2 	: 
PC,H,EL	: 	: 	: 	15.2 	: 	: 	: 	20.0 	: 	: 	: 
PC,H,ES	10.5 p	10.5 	9.0 	12.0 	12.0 	11.3 	11.0 	11.1 	13.8 	12.0 	15.2 
PC,H,FI	6.6 p	8.8 	9.2 	9.3 	10.4 	10.8 	10.9 	14.9 	12.1 	9.9 	: 
PC,H,FR	-1.3 p	-1.1 p	-0.3 	0.2 	0.8 	1.1 	0.6 	2.3 	3.5 	3.6 	: 
PC,H,HR	8.1 	4.3 	: 	6.5 	9.5 	: 	: 	12.5 	: 	: 	: 
PC,H,HU	-6.5 p	-6.4 	-4.1 	-2.6 	-3.3 	-0.3 	-0.7 	4.5 	5.8 	4.2 	: 
PC,H,IE	: 	: 	: 	16.7 	15.9 	13.6 	14.1 	10.9 	8.3 	9.8 	: 
PC,H,IS	17.2 	19.9 	19.2 	18.6 	18.4 	15.4 	16.5 	16.1 	20.0 	23.0 	24.7 
PC,H,IT	5.7 p	7.1 	6.9 	6.7 	6.0 	5.6 	2.5 	3.1 	: 	: 	: 
PC,H,LT	-8.2 	-6.3 	-6.8 	-4.2 	-3.9 	-2.7 	-1.6 	4.9 b	3.0 	6.1 	2.1 
PC,H,LU	7.3 	7.8 	6.7 	5.2 	5.3 	8.7 	8.9 	7.1 	: 	: 	: 
PC,H,LV	1.8 	5.4 	3.5 	5.5 	5.8 	8.1 	8.4 	14.8 	: 	: 	: 
PC,H,ME	: 	: 	: 	-1.2 	: 	: 	: 	: 	: 	: 	: 
PC,H,MK	: 	: 	: 	-10.0 	: 	: 	: 	: 	: 	: 	: 
PC,H,MT	7.2 	5.9 	6.4 	8.3 	8.3 	9.4 	8.6 	10.4 	12.0 	13.1 	: 
PC,H,NL	9.1 	8.7 	10.9 	11.1 	11.3 	11.8 	12.8 	18.2 	19.2 	20.2 	: 
PC,H,NO	9.7 	10.4 	11.1 	10.7 	12.3 	10.5 	11.5 	12.1 	12.1 	12.8 	: 
PC,H,PL	-3.8 p	-3.8 	-3.3 	-2.8 	-3.3 	-3.9 	-3.8 	-3.7 	-4.9 	-6.1 	-7.3 
PC,H,PT	-16.5 	-16.7 	-17.7 	-22.0 	-23.9 	-20.2 	-17.7 	-18.0 	-13.2 	-9.6 	-7.0 
PC,H,RO	-2.1 e	-6 e	-8.7 e	-8.9 	-5.1 	-3.6 	3.2 	1.9 	9.5 d	3.6 d	3.6 d
PC,H,RS	: 	: 	: 	-4.9 	: 	: 	: 	: 	: 	: 	: 
PC,H,SE	0.4 	0.8 	-1.0 	1.4 	3.2 	2.8 	3.6 	4.7 	4.8 	6.2 	: 
PC,H,SI	-20.1 	-20.0 	-18.0 	-17.3 	-17.9 	-21.9 	-20.0 	-15.2 	-15.0 	-11.2 	-8.1 
PC,H,SK	6.9 	3.3 	5.2 	4.9 	3.9 	5.3 	1.4 	2.4 	3.7 	7.2 	: 
PC,H,TR	: 	: 	: 	-14.4 	: 	: 	: 	: 	: 	: 	: 
PC,H,UK	5.8 p	3.6 	7.4 	7.9 	4.3 	7.9 	4.5 	4.4 b	4.2 	2.4 	8.4 
PC,I,AT	4.7 	5.0 	5.8 	7.4 	: 	: 	: 	9.9 	: 	: 	: 
PC,I,BE	5.2 	5.4 	5.4 	5.4 	6.2 	7.0 	7.9 	8.7 	9.2 	9.6 	10.7 
PC,I,BG	11.9 	11.5 	11.8 	11.7 	8.5 	13.2 	11.5 	9.6 	9.7 	11.2 	8.0 
PC,I,CH	8.0 	8.1 	8.0 	8.1 	8.7 	8.0 	8.9 	8.4 	9.3 d	9.4 d	: 
PC,I,CY	14.8 	15.2 	15.8 	16.3 	17.8 	18.8 	20.3 	22.1 	23.1 	23.3 	: 
PC,I,CZ	8.3 	5.6 	7.6 	5.1 	5.8 	5.9 	6.9 	8.3 	16.6 	16.1 	: 
PC,I,DE	7.5 p	8.3 p	9.2 p	10.5 	10.7 	11.6 	12.4 	12.9 	13.2 	13.5 	13.7 
PC,I,DK	5.4 	5.4 	3.7 	4.7 	5.2 	5.6 	8.1 	6.7 	4.7 	2.8 	: 
PC,I,EE	16.0 	20.1 	14.0 	20.9 	25.0 	24.6 	20.6 	23.7 	20.8 	18.1 	: 
PC,I,EL	: 	: 	: 	10.5 	: 	: 	: 	13.7 	: 	: 	: 
PC,I,ES	16.4 p	16.4 	13.7 	12.1 	15.2 	18.1 	16.0 	18.0 	17.2 	16.7 	18.8 
PC,I,FI	9.1 p	8.8 	10.1 	10.3 	11.3 	11.1 	11.9 	12.6 	12.7 	13.0 	: 
PC,I,FR	7.1 p	7.2 p	7.3 	7.6 	8.2 	9.0 	9.6 	10.3 	10.5 	10.8 	: 
PC,I,HR	16.3 	15.1 	: 	9.4 	12.6 	: 	: 	12.1 	: 	: 	: 
PC,I,HU	17.3 p	18.0 	13.8 	16.9 	15.7 	15.8 	20.7 	12.8 	17.3 	18.9 	: 
PC,I,IE	: 	: 	: 	18.3 	12.6 	12.8 	13.2 	12.9 	9.5 	18.3 	: 
PC,I,IT	7.7 p	8.7 	12.7 	8.3 	: c	: c	: c	12.5 	: 	: 	: 
PC,I,LT	11.3 	13.4 	13.9 	12.1 	9.3 	11.8 	14.6 	14.9 b	20.9 	19.4 	16.3 
PC,I,LU	11.0 	12.0 	12.2 	12.9 	13.5 	16.0 	16.8 	17.0 	17.2 	17.4 	17.7 
PC,I,LV	7.9 	15.2 	14.1 	14.9 	14.0 	21.9 	21.4 	23.0 	: 	: 	: 
PC,I,ME	: 	: 	: 	3.9 	: 	: 	: 	: 	: 	: 	: 
PC,I,MK	: 	: 	: 	5.0 	: 	: 	: 	: 	: 	: 	: 
PC,I,MT	9.5 	13.5 	12.3 	12.8 	13.4 	14.1 	14.6 	16.6 	15.5 	15.0 	: 
PC,I,NL	12.0 	12.2 	12.7 	12.7 	13.5 	13.4 	13.8 	20.2 	19.0 	20.2 	: 
PC,I,NO	8.6 	8.6 	9.3 	8.2 	7.9 	8.6 	8.8 	9.5 	9.8 	9.6 	: 
PC,I,PL	12.1 p	12.1 	12.0 	11.9 	11.6 	11.2 	19.5 	27.7 	23.2 	18.7 	14.2 
PC,I,PT	15.1 	17.0 	17.9 	17.7 	19.0 	20.1 	21.6 	29.7 	23.4 	23.1 	23.6 
PC,I,RO	4.7 e	4.4 e	5.2 e	4.1 	3.6 	5.4 	5.5 	7.0 	11.4 d	8.5 d	14.4 d
PC,I,RS	: 	: 	: 	7.4 	: 	: 	: 	: 	: 	: 	: 
PC,I,SE	6.7 	6.7 	6.1 	6.3 	5.8 	7.6 	8.1 	8.9 	8.3 	9.0 	: 
PC,I,SI	8.1 	8.0 	8.3 	7.6 	8.3 	10.0 	11.1 	13.9 	14.6 	16.6 	16.6 
PC,I,SK	13.3 	11.6 	13.6 	14.9 	12.4 	13.7 	0.4 	11.3 	16.5 	18.5 	: 
PC,I,TR	: 	: 	: 	8.2 	: 	: 	: 	: 	: 	: 	: 
PC,I,UK	9.6 p	12.3 	10.7 	11.3 	12.2 	14.4 	14.8 	15.6 b	14.8 	22.8 	21.1 
PC,J,AT	21.7 	21.9 	22.7 	22.9 	: 	: 	: 	21.2 	: 	: 	: 
PC,J,BE	11.5 	11.7 	11.8 	11.8 	12.7 	13.5 	14.4 	15.2 	15.3 	16.0 	16.3 
PC,J,BG	18.1 	19.1 	19.2 	17.9 	17.7 	14.5 	9.4 	13.8 	19.7 	13.7 	14.0 
PC,J,CH	20.7 	20.9 	21.5 	21.6 	21.7 	21.0 	21.3 	24.2 	23.7 d	23.8 d	: 
PC,J,CY	14.1 	13.7 	13.5 	14.9 	20.1 	24.1 	21.1 	24.7 	26.7 	27.0 	: 
PC,J,CZ	32.8 	32.8 	32.5 	31.9 	31.6 	31.6 	31.4 	33.0 	35.5 	34.5 	: 
PC,J,DE	25.1 p	25.3 p	25 p	26.2 	27.3 	28.1 	28.1 	28.1 	28.6 	28.7 	28.9 
PC,J,DK	17.4 	17.4 	17.3 	18.1 	17.8 	19.5 	18.9 	20.3 	18.8 	20.0 	: 
PC,J,EE	25.8 	26.4 	25.5 	27.5 	30.1 	30.6 	23.8 	29.5 	29.5 	29.3 	: 
PC,J,EL	: 	: 	: 	21.7 	: 	: 	: 	25.4 	: 	: 	: 
PC,J,ES	13.4 p	13.4 	13.2 	13.7 	16.6 	16.9 	16.0 	14.7 	17.1 	14.9 	16.5 
PC,J,FI	12.9 p	12.5 	12.9 	12.6 	13.2 	13.5 	14.9 	15.7 	16.4 	18.0 	: 
PC,J,FR	11.4 p	11.6 p	11.8 	12.3 	13.8 	14.4 	15.9 	17.7 	18.0 	18.6 	: 
PC,J,HR	14.3 	12.6 	: 	11.7 	19.6 	: 	: 	16.6 	: 	: 	: 
PC,J,HU	20.6 p	20.6 	22.0 	24.1 	25.5 	28.3 	27.6 	24.6 	22.4 	17.4 	: 
PC,J,IE	: 	: 	: 	17.3 	15.9 	17.4 	18.1 	26.2 	25.0 	26.7 	: 
PC,J,IS	12 p	12.1 p	14.5 p	18.2 p	17.7 p	18.2 p	17.4 p	17.9 p	15.1 p	18.8 p	28.2 p
PC,J,IT	18.6 p	18.9 	17.4 	18.9 	: c	: c	: c	17.9 	: 	: 	: 
PC,J,LT	28.2 	29.9 	29.5 	28.8 	27.8 	26.4 	25.7 	25.2 b	28.4 	30.7 	22.2 
PC,J,LU	15.3 	17.2 	19.0 	19.9 	20.3 	19.9 	19.2 	17.8 	: 	: 	: 
PC,J,LV	16.2 	15.0 	10.9 	10.3 	14.0 	16.3 	20.7 	25.0 	: 	: 	: 
PC,J,ME	: 	: 	: 	4.3 	: 	: 	: 	: 	: 	: 	: 
PC,J,MK	: 	: 	: 	3.8 	: 	: 	: 	: 	: 	: 	: 
PC,J,MT	23.7 	20.4 	20.2 	18.6 	17.1 	15.3 	12.2 	11.0 	12.4 	16.3 	: 
PC,J,NL	17.4 	17.6 	18.4 	17.8 	17.2 	18.2 	19.2 	17.4 	17.9 	18.4 	: 
PC,J,NO	14.7 	15.2 	15.9 	15.3 	14.7 	16.0 	17.2 	16.8 	17.4 	17.6 	: 
PC,J,PL	25.9 p	25.9 	25.7 	25.5 	24.0 	22.4 	23.5 	24.5 	26.1 	27.6 	29.2 
PC,J,PT	11.7 	11.2 	11.1 	10.0 	10.8 	12.4 	14.5 	13.2 	17.4 	17.6 	15.6 
PC,J,RO	16.3 e	16.8 e	19.1 e	16.6 	17.5 	13.3 	12.2 	9.8 	7.1 d	8.9 d	5.3 d
PC,J,RS	: 	: 	: 	14.9 	: 	: 	: 	: 	: 	: 	: 
PC,J,SE	10.2 	11.7 	10.6 	11.3 	12.9 	13.8 	15.0 	14.0 	14.2 	16.1 	: 
PC,J,SI	16.7 	15.8 	16.2 	15.0 	14.2 	14.3 	14.0 	14.6 	16.4 	16.0 	16.6 
PC,J,SK	29.4 	27.6 	27.7 	28.5 	27.9 	27.0 	28.3 	27.3 	29.9 	31.1 	: 
PC,J,TR	: 	: 	: 	5.9 	: 	: 	: 	: 	: 	: 	: 
PC,J,UK	18.2 p	17.6 	17.1 	17.0 	18.4 	22.6 	21.6 	23.3 b	21.8 	22.3 	18.2 
PC,K,AT	28.1 	26.6 	30.3 	30.4 	: 	: 	: 	30.3 	: 	: 	: 
PC,K,BE	19.8 	19.9 	20.2 	20.2 	20.8 	21.2 	21.6 	22.1 	22.2 	22.6 	23.0 
PC,K,BG	23.6 	21.9 	22.5 	23.1 	24.9 	25.5 	20.8 	24.5 	23.8 	23.6 	24.7 
PC,K,CH	30.3 	30.5 	30.6 	31.0 	31.1 	31.1 	31.5 	32.0 	32.7 d	32.8 d	: 
PC,K,CY	25.2 	24.8 	24.9 	24.4 	24.6 	25.4 	26.1 	27.3 	29.1 	31.5 	: 
PC,K,CZ	39.5 	40.4 	40.9 	41.4 	40.9 	45.1 	44.3 	42.1 	49.0 	46.6 	: 
PC,K,DE	27.9 p	28.1 p	28.8 p	28.7 	29.3 	29.6 	30.1 	30.0 	29.6 	29.6 	29.4 
PC,K,DK	19.0 	19.5 	20.0 	20.6 	21.4 	21.3 	22.3 	23.0 	22.5 	22.4 	: 
PC,K,EE	40.2 	34.8 	35.4 	42.3 	45.0 	44.9 	41.1 	43.9 	42.3 	40.7 	: 
PC,K,EL	: 	: 	: 	16.8 	: 	: 	: 	17.8 	: 	: 	: 
PC,K,ES	20.5 p	20.5 	18.2 	18.1 	22.6 	21.9 	22.8 	22.5 	23.3 	22.1 	23.3 
PC,K,FI	29.1 p	32.3 	33.5 	34.2 	35.0 	35.3 	35.3 	36.4 	36.6 	36.6 	: 
PC,K,FR	30.6 p	30.5 p	30.4 	30.9 	30.7 	30.2 	29.6 	30.7 	31.4 	34.1 	: 
PC,K,HR	25.0 	5.0 	: 	21.0 	12.1 	: 	: 	7.0 	: 	: 	: 
PC,K,HU	32.4 p	34.2 	23.9 	36.8 	38.0 	38.7 	37.2 	38.6 	39.7 	36.3 	: 
PC,K,IE	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 
PC,K,IS	40.1 	39.5 	37.4 	38.8 	38.1 	34.9 	34.2 	32.2 	36.8 	42.8 	42.6 
PC,K,IT	18.3 p	18.1 	22.0 	22.4 	24.9 	23.4 	22.2 	21.7 	: 	: 	: 
PC,K,LT	38.1 	38.3 	38.5 	39.9 	39.9 	40.0 	40.8 	44.3 b	45.4 	47.7 	46.4 
PC,K,LU	22.1 	23.0 	23.1 	22.5 	23.0 	24.0 	25.7 	26.0 	27.0 	28.1 	29.1 
PC,K,LV	29.8 	25.9 	29.4 	34.8 	30.6 	35.2 	33.5 	37.6 	: 	: 	: 
PC,K,ME	: 	: 	: 	18.1 	: 	: 	: 	: 	: 	: 	: 
PC,K,MK	: 	: 	: 	15.3 	: 	: 	: 	: 	: 	: 	: 
PC,K,MT	28.3 	30.4 	30.3 	27.3 	28.1 	28.1 	29.1 	30.6 	28.7 	26.0 	: 
PC,K,NL	28.1 	28.8 	29.1 	28.3 	28.4 	29.3 	30.2 	23.9 	24.4 	25.1 	: 
PC,K,NO	30.4 	30.4 	31.3 	29.9 	29.8 	29.9 	31.8 	31.4 	31.4 	35.2 	: 
PC,K,PL	30.4 p	30.4 	33.6 	36.7 	36.8 	36.9 	37.7 	38.5 	37.4 	36.3 	35.2 
PC,K,PT	23.6 	23.7 	23.8 	21.6 	22.1 	22.9 	25.8 	25.9 	23.3 	24.4 	24.9 
PC,K,RO	28.2 e	29.2 e	24.2 e	20.9 	21.7 	17.7 	21.9 	17.8 	23.2 d	20.4 d	15.5 d
PC,K,RS	: 	: 	: 	12.9 	: 	: 	: 	: 	: 	: 	: 
PC,K,SE	25.5 	26.9 	26.3 	27.7 	28.9 	30.0 	31.4 	32.3 	32.3 	34.0 	: 
PC,K,SI	22.6 	21.7 	22.9 	23.7 	22.5 	21.7 	22.2 	22.8 	24.8 	29.0 	28.8 
PC,K,SK	33.5 	35.3 	37.5 	35.4 	35.3 	35.1 	37.6 	37.1 	39.6 	38.2 	: 
PC,K,TR	: 	: 	: 	9.8 	: 	: 	: 	: 	: 	: 	: 
PC,K,UK	34.2 p	36.1 	37.4 	39.0 	39.2 	42.3 	39.4 	43.6 b	39.5 	40.7 	41.6 
PC,L,AT	24.9 	25.5 	27.2 	27.8 	: 	: 	: 	27.0 	: 	: 	: 
PC,L,BE	3.4 	3.5 	3.6 	3.6 	7.2 	10.8 	14.2 	17.8 	18.2 	18.5 	19.0 
PC,L,BG	17.9 	17.0 	10.8 	10.8 	10.5 	8.8 	-0.3 	-0.2 	3.4 	7.1 	2.2 
PC,L,CH	20.4 	20.3 	20.4 	20.6 	20.9 	20.7 	20.9 	22.5 	22 d	22 d	: 
PC,L,CY	8.3 u	8.9 u	9.6 u	10.6 u	11.4 u	13.7 u	14.2 u	15.6 u	16.2 u	27.7 u	: 
PC,L,CZ	15.0 	12.0 	10.5 	14.2 	15.8 	12.0 	20.7 	21.8 	15.6 	11.6 	: 
PC,L,DE	12.7 p	15.9 p	14.1 p	16.3 	17.1 	17.0 	17.6 	20.5 	21.5 	20.9 	19.6 
PC,L,DK	9.5 	10.6 	9.4 	9.7 	7.9 	9.6 	10.2 	11.3 	11.4 	18.3 	: 
