unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,B-N,IT	15.6 p	16.0 	17.2 	17.6 	18.9 	17.0 	15.7 	15.8 	16.1 	16.0 	16.4 
PC,B-N,LT	15.4 	17.8 	18.0 	17.5 	16.8 	17.0 	16.9 	18.3 b	21.4 	25.2 	25.9 
PC,B-N,LU	13.1 	13.9 	14.2 	14.0 	13.9 	14.0 	13.8 	13.7 	14.2 	14.8 	15.3 
PC,B-N,LV	15.1 	15.4 	15.1 	16.0 	14.8 	14.6 	14.4 	17.0 	17.2 	15.5 	17.8 
PC,B-N,ME	: 	: 	: 	5.0 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,MK	: 	: 	: 	12.7 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,MT	14.8 	14.3 	14.5 	14.2 	14.6 	15.3 	15.3 	15.5 	16.2 	18.5 	14.9 
PC,B-N,NL	21.2 	21.6 	21.8 	21.6 	21.7 	22.2 	23.1 	17.7 	18.5 	19.0 	19.5 
PC,B-N,NO	16.9 	17.5 	18.5 	17.3 	17.3 	17.3 	18.4 	19.7 	19.6 	19.6 	19.3 
PC,B-N,PL	15.4 p	15.4 	16.6 	17.7 	16.7 	15.6 	15.9 	16.1 	17.9 	19.7 	21.5 
PC,B-N,PT	20.0 	21.1 	21.7 	22.5 	21.3 	21.7 	20.3 	22.8 	21.0 	22.6 	21.4 
PC,B-N,RO	7.3 e	7 e	6.4 e	5.4 	5.5 	5.7 	7.7 	6.9 	9.8 d	11.2 d	13.3 d
PC,B-N,RS	: 	: 	: 	9.6 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,SE	9.6 	10.2 	10.5 	10.4 	11.2 	12.1 	12.5 	12.9 	13.7 	15.6 	16.9 
PC,B-N,SI	9.2 	8.9 	8.8 	8.5 	8.5 	7.9 	8.1 	6.9 	6.7 	10.6 	11.3 
PC,B-N,SK	20.6 	19.8 	19.9 	20.8 	20.0 	21.6 	19.4 	20.2 	22.4 	20.8 	23.9 
PC,B-N,TR	: 	: 	: 	1.7 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,UK	21.1 p	21.7 	23.3 	23.9 	24.0 	26.4 	25.7 	28.1 b	23.1 	24.3 	24.0 
PC,B-S,BG	12.7 	13.2 	14.2 	12.9 	12.7 	14.0 	12.2 	12.3 	12.5 	11.4 	10.6 
PC,B-S,CH	17.0 	17.0 	17.2 	17.4 	17.6 	17.4 	17.6 	17.9 	18.4 d	18.4 d	: 
PC,B-S,CY	13.1 	13.7 	14.0 	14.4 	14.9 	15.5 	16.1 	16.6 	18.0 	19.6 	21.7 
PC,B-S,CZ	20.3 	20.7 	21.5 	21.6 	21.3 	21.7 	21.8 	20.9 	25.0 	25.4 	23.3 
PC,B-S,DE	20 p	20.4 p	20.8 p	21.1 	20.8 	21.5 	20.9 	20.8 	: 	: 	: 
PC,B-S,DK	14.2 	14.5 	14.6 	15.7 	16.2 	16.4 	16.0 	16.8 	15.7 	15.1 	17.3 
PC,B-S,EE	24.2 	23.7 	25.0 	26.4 	28.2 	28.2 	25.8 	26.1 	25.4 	26.6 	29.5 
PC,B-S,EL	: 	: 	: 	: 	: 	: 	: 	15.0 	: 	: 	: 
PC,B-S,ES	14.2 p	14.2 	13.1 	14.0 	17.2 	17.8 	16.8 	15.3 	15.8 	15.4 	: 
PC,B-S,FI	16.5 p	17.1 	17.4 	18.2 	18.5 	18.8 	18.6 	20.0 	20.3 	20.2 	20.1 
PC,B-S,FR	15.4 p	15.3 p	15.3 	15.4 	15.2 	15.0 	15.0 	15.5 	: 	: 	: 
PC,B-S,HR	11.9 	11.5 	: 	8.6 	8.8 	: 	: 	5.5 	: 	: 	: 
PC,B-S,HU	14.4 p	14.3 	12.9 	13.7 	15.8 	17.0 	15.9 	15.9 	15.5 	16.7 	16.1 
PC,B-S,IE	: 	: 	: 	14.1 	13.1 	12.6 	13.1 	13.3 	12.3 	12.5 	17.6 
PC,B-S,IS	15.3 	15.6 	17.0 	16.4 	18.5 	17.2 	17.5 	17.5 	18.0 	20.5 	23.4 
PC,B-S,IT	: 	: 	: 	7.4 	: 	: 	: 	: 	: 	: 	: 
PC,B-S,LT	14.2 	13.4 	13.0 	12.4 	11.5 	11.4 	11.3 	12 b	15.0 	20.5 	21.2 
PC,B-S,LV	14.2 	15.4 	15.1 	15.8 	14.2 	13.0 	12.0 	13.2 	: 	: 	: 
PC,B-S,MK	: 	: 	: 	8.3 	: 	: 	: 	: 	: 	: 	: 
PC,B-S,NL	14.1 	14.6 	15.2 	15.2 	15.7 	16.9 	17.8 	18.0 	18.9 	19.3 	19.7 
PC,B-S,NO	14.3 	14.8 	16.0 	: 	15.6 	14.9 	16.2 	16.7 	: 	: 	: 
PC,B-S,PL	7.1 p	7.1 	7.4 	7.7 	7.3 	6.8 	5.9 	4.9 	8.0 	11.1 	14.2 
PC,B-S,PT	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 	: 
PC,B-S,RO	2.3 e	4 e	4.7 e	3.4 	3.7 	6.1 	9.0 	8.4 	6.7 d	6.9 d	10.5 d
PC,B-S,SE	12.0 	12.6 	13.4 	13.5 	14.2 	15.1 	15.2 	15.6 	15.0 	15.3 	14.5 
PC,B-S,SI	7.6 	7.5 	7.5 	6.6 	5.8 	4.4 	2.8 	0.7 	-0.3 	4.1 	4.9 
PC,B-S,SK	19.6 	18.8 	19.7 	19.8 	18.7 	20.8 	19.9 	19.6 	21.7 	20.4 	22.7 
PC,B-S,UK	20.4 p	20.3 	20.6 	20.6 	20.7 	22.3 	21.5 	23.1 b	20.4 	21.3 	20.8 
PC,B-S_X_O,AT	19.9 	20.1 	21.7 	22.2 	22.3 	22.9 	23.5 	24.0 	24.3 	25.1 	25.5 
PC,B-S_X_O,BE	6.0 	6.1 	6.5 	6.6 	7.5 	8.3 	9.4 	10.2 	10.1 	10.2 	10.1 
PC,B-S_X_O,BG	13.6 	14.4 	15.4 	14.2 	14.1 	15.1 	13.2 	13.0 	13.3 	12.3 	12.1 
PC,B-S_X_O,CH	17.0 	17.0 	17.2 	17.4 	17.6 	17.4 	17.6 	17.8 	18.4 d	18.4 d	: 
PC,B-S_X_O,CY	13.7 	13.9 	14.0 	14.2 	14.9 	15.6 	16.1 	16.8 	17.8 	19.5 	22.0 
