"Percentage of population in life-long learning by sex"

"Sex";"Country";"1995";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Female";"Germany";..;4.8;4.8;5.5;5.6;7.0;7.4;7.2;7.6;8.0;7.9;7.7;7.8;7.8;7.9;7.9;8.0;8.3;8.1
"Female";"United States";3.0;7.0;5.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.3;7.2;7.1;6.7;6.2;6.1;6.0;..;..
"Male";"Germany";..;5.6;5.7;6.1;6.4;7.8;8.0;7.7;8.0;8.2;8.1;7.9;7.9;8.1;7.9;8.1;8.2;8.7;8.7
"Male";"United States";3.0;5.0;7.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.2;5.5;5.2;4.8;4.6;4.8;4.4;..;..
