GENESIS-Tabelle: 21111-0014
Absolventen/Abgänger: Bundesländer, Schuljahr, Geschlecht,;;;;;
Schulabschlüsse;;;;;
Statistik der allgemeinbildenden Schulen;;;;;
Absolventen/Abgänger (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
2013/14;Rheinland-Pfalz;Allgemeine Hochschulreife;5998;7628;13626
2013/14;Saarland;Ohne Hauptschulabschluss;297;192;489
2013/14;Saarland;Hauptschulabschluss;1438;1129;2567
2013/14;Saarland;Mittlerer Schulabschluss;1676;1776;3452
2013/14;Saarland;Fachhochschulreife;-;-;-
2013/14;Saarland;Allgemeine Hochschulreife;1408;1804;3212
2013/14;Sachsen;Ohne Hauptschulabschluss;1437;911;2348
2013/14;Sachsen;Hauptschulabschluss;1852;1216;3068
2013/14;Sachsen;Mittlerer Schulabschluss;7472;6800;14272
2013/14;Sachsen;Fachhochschulreife;-;-;-
2013/14;Sachsen;Allgemeine Hochschulreife;3738;4463;8201
2013/14;Sachsen-Anhalt;Ohne Hauptschulabschluss;946;582;1528
2013/14;Sachsen-Anhalt;Hauptschulabschluss;1152;776;1928
2013/14;Sachsen-Anhalt;Mittlerer Schulabschluss;4150;3880;8030
2013/14;Sachsen-Anhalt;Fachhochschulreife;-;-;-
2013/14;Sachsen-Anhalt;Allgemeine Hochschulreife;1877;2379;4256
2013/14;Schleswig-Holstein;Ohne Hauptschulabschluss;1422;901;2323
2013/14;Schleswig-Holstein;Hauptschulabschluss;3460;2469;5929
2013/14;Schleswig-Holstein;Mittlerer Schulabschluss;6329;6332;12661
2013/14;Schleswig-Holstein;Fachhochschulreife;-;-;-
2013/14;Schleswig-Holstein;Allgemeine Hochschulreife;4381;4986;9367
2013/14;Thüringen;Ohne Hauptschulabschluss;714;404;1118
2013/14;Thüringen;Hauptschulabschluss;1340;944;2284
2013/14;Thüringen;Mittlerer Schulabschluss;3832;3689;7521
2013/14;Thüringen;Fachhochschulreife;-;-;-
2013/14;Thüringen;Allgemeine Hochschulreife;2273;2726;4999
2014/15;Baden-Württemberg;Ohne Hauptschulabschluss;3593;2175;5768
2014/15;Baden-Württemberg;Hauptschulabschluss;12936;9269;22205
2014/15;Baden-Württemberg;Mittlerer Schulabschluss;29340;27950;57290
2014/15;Baden-Württemberg;Fachhochschulreife;147;198;345
2014/15;Baden-Württemberg;Allgemeine Hochschulreife;16348;18780;35128
2014/15;Bayern;Ohne Hauptschulabschluss;4052;2207;6259
2014/15;Bayern;Hauptschulabschluss;17480;11676;29156
2014/15;Bayern;Mittlerer Schulabschluss;30590;31568;62158
2014/15;Bayern;Fachhochschulreife;5;2;7
2014/15;Bayern;Allgemeine Hochschulreife;17857;20920;38777
2014/15;Berlin;Ohne Hauptschulabschluss;1812;1197;3009
2014/15;Berlin;Hauptschulabschluss;2862;2324;5186
2014/15;Berlin;Mittlerer Schulabschluss;5562;4836;10398
2014/15;Berlin;Fachhochschulreife;2;-;2
2014/15;Berlin;Allgemeine Hochschulreife;5780;6965;12745
2014/15;Brandenburg;Ohne Hauptschulabschluss;961;595;1556
2014/15;Brandenburg;Hauptschulabschluss;1692;1141;2833
2014/15;Brandenburg;Mittlerer Schulabschluss;4678;4260;8938
2014/15;Brandenburg;Fachhochschulreife;8;8;16
2014/15;Brandenburg;Allgemeine Hochschulreife;3506;4003;7509
2014/15;Bremen;Ohne Hauptschulabschluss;268;179;447
2014/15;Bremen;Hauptschulabschluss;787;608;1395
2014/15;Bremen;Mittlerer Schulabschluss;1455;1315;2770
2014/15;Bremen;Fachhochschulreife;146;100;246
2014/15;Bremen;Allgemeine Hochschulreife;1391;1611;3002
2014/15;Hamburg;Ohne Hauptschulabschluss;523;374;897
2014/15;Hamburg;Hauptschulabschluss;1593;1189;2782
2014/15;Hamburg;Mittlerer Schulabschluss;2045;1798;3843
2014/15;Hamburg;Fachhochschulreife;-;-;-
2014/15;Hamburg;Allgemeine Hochschulreife;4240;4847;9087
2014/15;Hessen;Ohne Hauptschulabschluss;1589;953;2542
2014/15;Hessen;Hauptschulabschluss;5730;4032;9762
2014/15;Hessen;Mittlerer Schulabschluss;14254;13698;27952
2014/15;Hessen;Fachhochschulreife;167;147;314
2014/15;Hessen;Allgemeine Hochschulreife;9885;12212;22097
2014/15;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;643;357;1000
2014/15;Mecklenburg-Vorpommern;Hauptschulabschluss;1024;668;1692
2014/15;Mecklenburg-Vorpommern;Mittlerer Schulabschluss;2637;2434;5071
2014/15;Mecklenburg-Vorpommern;Fachhochschulreife;-;-;-
2014/15;Mecklenburg-Vorpommern;Allgemeine Hochschulreife;1886;2362;4248
2014/15;Niedersachsen;Ohne Hauptschulabschluss;2662;1677;4339
2014/15;Niedersachsen;Hauptschulabschluss;6828;4292;11120
2014/15;Niedersachsen;Mittlerer Schulabschluss;21967;20471;42438
2014/15;Niedersachsen;Fachhochschulreife;-;-;-
2014/15;Niedersachsen;Allgemeine Hochschulreife;12346;15563;27909
2014/15;Nordrhein-Westfalen;Ohne Hauptschulabschluss;6462;4592;11054
2014/15;Nordrhein-Westfalen;Hauptschulabschluss;17922;12716;30638
2014/15;Nordrhein-Westfalen;Mittlerer Schulabschluss;44119;41366;85485
2014/15;Nordrhein-Westfalen;Fachhochschulreife;22;18;40
2014/15;Nordrhein-Westfalen;Allgemeine Hochschulreife;36110;43779;79889
2014/15;Rheinland-Pfalz;Ohne Hauptschulabschluss;1642;964;2606
2014/15;Rheinland-Pfalz;Hauptschulabschluss;4930;3213;8143
2014/15;Rheinland-Pfalz;Mittlerer Schulabschluss;9092;9039;18131
2014/15;Rheinland-Pfalz;Fachhochschulreife;-;-;-
2014/15;Rheinland-Pfalz;Allgemeine Hochschulreife;6420;7793;14213
2014/15;Saarland;Ohne Hauptschulabschluss;281;157;438
2014/15;Saarland;Hauptschulabschluss;1352;1020;2372
2014/15;Saarland;Mittlerer Schulabschluss;1542;1613;3155
2014/15;Saarland;Fachhochschulreife;-;-;-
2014/15;Saarland;Allgemeine Hochschulreife;1590;1889;3479
2014/15;Sachsen;Ohne Hauptschulabschluss;1412;942;2354
2014/15;Sachsen;Hauptschulabschluss;1671;1129;2800
2014/15;Sachsen;Mittlerer Schulabschluss;7375;7018;14393
2014/15;Sachsen;Fachhochschulreife;-;-;-
2014/15;Sachsen;Allgemeine Hochschulreife;4299;5018;9317
2014/15;Sachsen-Anhalt;Ohne Hauptschulabschluss;1073;662;1735
2014/15;Sachsen-Anhalt;Hauptschulabschluss;1182;778;1960
2014/15;Sachsen-Anhalt;Mittlerer Schulabschluss;4299;3980;8279
2014/15;Sachsen-Anhalt;Fachhochschulreife;-;-;-
2014/15;Sachsen-Anhalt;Allgemeine Hochschulreife;2180;2715;4895
2014/15;Schleswig-Holstein;Ohne Hauptschulabschluss;1371;863;2234
2014/15;Schleswig-Holstein;Hauptschulabschluss;3204;2371;5575
2014/15;Schleswig-Holstein;Mittlerer Schulabschluss;6146;6189;12335
2014/15;Schleswig-Holstein;Fachhochschulreife;3;-;3
2014/15;Schleswig-Holstein;Allgemeine Hochschulreife;4686;5299;9985
2014/15;Thüringen;Ohne Hauptschulabschluss;743;454;1197
2014/15;Thüringen;Hauptschulabschluss;1401;928;2329
2014/15;Thüringen;Mittlerer Schulabschluss;3848;3610;7458
2014/15;Thüringen;Fachhochschulreife;-;-;-
2014/15;Thüringen;Allgemeine Hochschulreife;2591;2991;5582
2015/16;Baden-Württemberg;Ohne Hauptschulabschluss;3712;2413;6125
2015/16;Baden-Württemberg;Hauptschulabschluss;12668;9190;21858
2015/16;Baden-Württemberg;Mittlerer Schulabschluss;29055;27075;56130
2015/16;Baden-Württemberg;Fachhochschulreife;169;193;362
2015/16;Baden-Württemberg;Allgemeine Hochschulreife;15935;18696;34631
2015/16;Bayern;Ohne Hauptschulabschluss;4607;2426;7033
2015/16;Bayern;Hauptschulabschluss;17127;11602;28729
2015/16;Bayern;Mittlerer Schulabschluss;32191;33214;65405
2015/16;Bayern;Fachhochschulreife;3;1;4
2015/16;Bayern;Allgemeine Hochschulreife;17955;21030;38985
2015/16;Berlin;Ohne Hauptschulabschluss;1493;997;2490
2015/16;Berlin;Hauptschulabschluss;2575;1970;4545
2015/16;Berlin;Mittlerer Schulabschluss;5249;4644;9893
2015/16;Berlin;Fachhochschulreife;-;-;-
2015/16;Berlin;Allgemeine Hochschulreife;6550;7555;14105
2015/16;Brandenburg;Ohne Hauptschulabschluss;965;558;1523
2015/16;Brandenburg;Hauptschulabschluss;1778;1113;2891
2015/16;Brandenburg;Mittlerer Schulabschluss;4532;4105;8637
2015/16;Brandenburg;Fachhochschulreife;24;8;32
2015/16;Brandenburg;Allgemeine Hochschulreife;3574;4348;7922
2015/16;Bremen;Ohne Hauptschulabschluss;246;191;437
2015/16;Bremen;Hauptschulabschluss;744;517;1261
2015/16;Bremen;Mittlerer Schulabschluss;1298;1165;2463
2015/16;Bremen;Fachhochschulreife;-;-;-
2015/16;Bremen;Allgemeine Hochschulreife;1275;1556;2831
2015/16;Hamburg;Ohne Hauptschulabschluss;591;401;992
2015/16;Hamburg;Hauptschulabschluss;1471;1117;2588
2015/16;Hamburg;Mittlerer Schulabschluss;2142;1802;3944
2015/16;Hamburg;Fachhochschulreife;-;-;-
2015/16;Hamburg;Allgemeine Hochschulreife;4367;5053;9420
2015/16;Hessen;Ohne Hauptschulabschluss;1947;1270;3217
2015/16;Hessen;Hauptschulabschluss;6588;4686;11274
2015/16;Hessen;Mittlerer Schulabschluss;14941;14434;29375
2015/16;Hessen;Fachhochschulreife;173;118;291
2015/16;Hessen;Allgemeine Hochschulreife;9450;11595;21045
2015/16;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;735;440;1175
2015/16;Mecklenburg-Vorpommern;Hauptschulabschluss;1010;701;1711
2015/16;Mecklenburg-Vorpommern;Mittlerer Schulabschluss;2671;2527;5198
2015/16;Mecklenburg-Vorpommern;Fachhochschulreife;-;-;-
2015/16;Mecklenburg-Vorpommern;Allgemeine Hochschulreife;2032;2447;4479
2015/16;Niedersachsen;Ohne Hauptschulabschluss;2676;1615;4291
2015/16;Niedersachsen;Hauptschulabschluss;6837;4496;11333
2015/16;Niedersachsen;Mittlerer Schulabschluss;21373;19604;40977
2015/16;Niedersachsen;Fachhochschulreife;-;-;-
2015/16;Niedersachsen;Allgemeine Hochschulreife;12468;15096;27564
2015/16;Nordrhein-Westfalen;Ohne Hauptschulabschluss;6453;4352;10805
2015/16;Nordrhein-Westfalen;Hauptschulabschluss;17702;12066;29768
2015/16;Nordrhein-Westfalen;Mittlerer Schulabschluss;42747;40084;82831
2015/16;Nordrhein-Westfalen;Fachhochschulreife;48;41;89
2015/16;Nordrhein-Westfalen;Allgemeine Hochschulreife;35838;43722;79560
2015/16;Rheinland-Pfalz;Ohne Hauptschulabschluss;1607;918;2525
2015/16;Rheinland-Pfalz;Hauptschulabschluss;4871;3191;8062
2015/16;Rheinland-Pfalz;Mittlerer Schulabschluss;8482;8462;16944
2015/16;Rheinland-Pfalz;Fachhochschulreife;-;-;-
2015/16;Rheinland-Pfalz;Allgemeine Hochschulreife;6987;8713;15700
2015/16;Saarland;Ohne Hauptschulabschluss;434;228;662
2015/16;Saarland;Hauptschulabschluss;1291;982;2273
2015/16;Saarland;Mittlerer Schulabschluss;1658;1656;3314
2015/16;Saarland;Fachhochschulreife;-;-;-
2015/16;Saarland;Allgemeine Hochschulreife;1543;1760;3303
2015/16;Sachsen;Ohne Hauptschulabschluss;1570;963;2533
2015/16;Sachsen;Hauptschulabschluss;1728;1070;2798
2015/16;Sachsen;Mittlerer Schulabschluss;8107;7564;15671
2015/16;Sachsen;Fachhochschulreife;-;-;-
2015/16;Sachsen;Allgemeine Hochschulreife;4373;5245;9618
2015/16;Sachsen-Anhalt;Ohne Hauptschulabschluss;1078;585;1663
2015/16;Sachsen-Anhalt;Hauptschulabschluss;1282;828;2110
2015/16;Sachsen-Anhalt;Mittlerer Schulabschluss;4604;4124;8728
2015/16;Sachsen-Anhalt;Fachhochschulreife;-;-;-
2015/16;Sachsen-Anhalt;Allgemeine Hochschulreife;2327;2820;5147
2015/16;Schleswig-Holstein;Ohne Hauptschulabschluss;1484;952;2436
2015/16;Schleswig-Holstein;Hauptschulabschluss;3300;2272;5572
2015/16;Schleswig-Holstein;Mittlerer Schulabschluss;6174;6089;12263
2015/16;Schleswig-Holstein;Fachhochschulreife;-;-;-
2015/16;Schleswig-Holstein;Allgemeine Hochschulreife;7797;9128;16925
2015/16;Thüringen;Ohne Hauptschulabschluss;846;440;1286
2015/16;Thüringen;Hauptschulabschluss;1394;1076;2470
2015/16;Thüringen;Mittlerer Schulabschluss;3844;3613;7457
2015/16;Thüringen;Fachhochschulreife;-;-;-
2015/16;Thüringen;Allgemeine Hochschulreife;2601;3331;5932
2016/17;Baden-Württemberg;Ohne Hauptschulabschluss;4626;2813;7439
2016/17;Baden-Württemberg;Hauptschulabschluss;10329;7324;17653
2016/17;Baden-Württemberg;Mittlerer Schulabschluss;27725;26090;53815
2016/17;Baden-Württemberg;Fachhochschulreife;176;179;355
2016/17;Baden-Württemberg;Allgemeine Hochschulreife;15870;18083;33953
2016/17;Bayern;Ohne Hauptschulabschluss;4935;2561;7496
2016/17;Bayern;Hauptschulabschluss;16110;10749;26859
2016/17;Bayern;Mittlerer Schulabschluss;31337;31314;62651
2016/17;Bayern;Fachhochschulreife;-;-;-
2016/17;Bayern;Allgemeine Hochschulreife;18112;20959;39071
2016/17;Berlin;Ohne Hauptschulabschluss;1721;1262;2983
2016/17;Berlin;Hauptschulabschluss;2522;2043;4565
2016/17;Berlin;Mittlerer Schulabschluss;5321;4465;9786
2016/17;Berlin;Fachhochschulreife;-;-;-
2016/17;Berlin;Allgemeine Hochschulreife;7028;8087;15115
2016/17;Brandenburg;Ohne Hauptschulabschluss;1010;554;1564
2016/17;Brandenburg;Hauptschulabschluss;1729;1068;2797
2016/17;Brandenburg;Mittlerer Schulabschluss;4171;3886;8057
2016/17;Brandenburg;Fachhochschulreife;-;-;-
2016/17;Brandenburg;Allgemeine Hochschulreife;4053;4892;8945
2016/17;Bremen;Ohne Hauptschulabschluss;354;226;580
2016/17;Bremen;Hauptschulabschluss;789;538;1327
2016/17;Bremen;Mittlerer Schulabschluss;1300;1196;2496
2016/17;Bremen;Fachhochschulreife;-;-;-
2016/17;Bremen;Allgemeine Hochschulreife;1189;1403;2592
2016/17;Hamburg;Ohne Hauptschulabschluss;512;384;896
2016/17;Hamburg;Hauptschulabschluss;1915;1263;3178
2016/17;Hamburg;Mittlerer Schulabschluss;2150;1884;4034
2016/17;Hamburg;Fachhochschulreife;-;-;-
2016/17;Hamburg;Allgemeine Hochschulreife;4238;4800;9038
2016/17;Hessen;Ohne Hauptschulabschluss;1870;1223;3093
2016/17;Hessen;Hauptschulabschluss;7164;4776;11940
2016/17;Hessen;Mittlerer Schulabschluss;14282;13481;27763
2016/17;Hessen;Fachhochschulreife;130;103;233
2016/17;Hessen;Allgemeine Hochschulreife;9248;11490;20738
2016/17;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;726;407;1133
2016/17;Mecklenburg-Vorpommern;Hauptschulabschluss;1090;659;1749
2016/17;Mecklenburg-Vorpommern;Mittlerer Schulabschluss;2815;2533;5348
2016/17;Mecklenburg-Vorpommern;Fachhochschulreife;-;-;-
2016/17;Mecklenburg-Vorpommern;Allgemeine Hochschulreife;2054;2529;4583
2016/17;Niedersachsen;Ohne Hauptschulabschluss;3042;1788;4830
2016/17;Niedersachsen;Hauptschulabschluss;7200;4486;11686
2016/17;Niedersachsen;Mittlerer Schulabschluss;20748;18435;39183
2016/17;Niedersachsen;Fachhochschulreife;-;-;-
2016/17;Niedersachsen;Allgemeine Hochschulreife;11978;14778;26756
2016/17;Nordrhein-Westfalen;Ohne Hauptschulabschluss;6781;4368;11149
2016/17;Nordrhein-Westfalen;Hauptschulabschluss;17196;11959;29155
2016/17;Nordrhein-Westfalen;Mittlerer Schulabschluss;41853;39000;80853
2016/17;Nordrhein-Westfalen;Fachhochschulreife;30;10;40
2016/17;Nordrhein-Westfalen;Allgemeine Hochschulreife;34423;41615;76038
2016/17;Rheinland-Pfalz;Ohne Hauptschulabschluss;1716;1069;2785
2016/17;Rheinland-Pfalz;Hauptschulabschluss;5111;3164;8275
2016/17;Rheinland-Pfalz;Mittlerer Schulabschluss;8067;8004;16071
2016/17;Rheinland-Pfalz;Fachhochschulreife;-;-;-
2016/17;Rheinland-Pfalz;Allgemeine Hochschulreife;6651;8379;15030
2016/17;Saarland;Ohne Hauptschulabschluss;399;211;610
2016/17;Saarland;Hauptschulabschluss;1384;1050;2434
2016/17;Saarland;Mittlerer Schulabschluss;1569;1521;3090
2016/17;Saarland;Fachhochschulreife;-;-;-
2016/17;Saarland;Allgemeine Hochschulreife;1396;1686;3082
2016/17;Sachsen;Ohne Hauptschulabschluss;1579;987;2566
2016/17;Sachsen;Hauptschulabschluss;1821;1137;2958
2016/17;Sachsen;Mittlerer Schulabschluss;8222;7384;15606
2016/17;Sachsen;Fachhochschulreife;-;-;-
2016/17;Sachsen;Allgemeine Hochschulreife;4754;5578;10332
2016/17;Sachsen-Anhalt;Ohne Hauptschulabschluss;1102;647;1749
2016/17;Sachsen-Anhalt;Hauptschulabschluss;1179;758;1937
2016/17;Sachsen-Anhalt;Mittlerer Schulabschluss;4588;4145;8733
2016/17;Sachsen-Anhalt;Fachhochschulreife;-;-;-
2016/17;Sachsen-Anhalt;Allgemeine Hochschulreife;2303;2853;5156
2016/17;Schleswig-Holstein;Ohne Hauptschulabschluss;1464;829;2293
2016/17;Schleswig-Holstein;Hauptschulabschluss;3176;2175;5351
2016/17;Schleswig-Holstein;Mittlerer Schulabschluss;5912;5764;11676
2016/17;Schleswig-Holstein;Fachhochschulreife;-;-;-
2016/17;Schleswig-Holstein;Allgemeine Hochschulreife;5261;5851;11112
2016/17;Thüringen;Ohne Hauptschulabschluss;1021;498;1519
2016/17;Thüringen;Hauptschulabschluss;1483;1042;2525
2016/17;Thüringen;Mittlerer Schulabschluss;3980;3670;7650
2016/17;Thüringen;Fachhochschulreife;-;-;-
2016/17;Thüringen;Allgemeine Hochschulreife;2580;3177;5757
__________
"Ab 2012/13:
Mittlerer Schulabschluss einschließlich schulischer Teil der
Fachhochschulreife."
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 23.05.2019 / 11:37:27
