GENESIS-Tabelle: 21111-0014
Absolventen/Abgänger: Bundesländer, Schuljahr, Geschlecht,;;;;;
Schulabschlüsse;;;;;
Statistik der allgemeinbildenden Schulen;;;;;
Absolventen/Abgänger (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
2010/11;Bayern;Fachhochschulreife;6;6;12
2010/11;Bayern;Allgemeine Hochschulreife;31577;37303;68880
2010/11;Berlin;Ohne Hauptschulabschluss;1462;1025;2487
2010/11;Berlin;Hauptschulabschluss;3475;2837;6312
2010/11;Berlin;Mittlerer Schulabschluss;4711;4229;8940
2010/11;Berlin;Fachhochschulreife;-;-;-
2010/11;Berlin;Allgemeine Hochschulreife;5423;6440;11863
2010/11;Brandenburg;Ohne Hauptschulabschluss;862;549;1411
2010/11;Brandenburg;Hauptschulabschluss;1767;1074;2841
2010/11;Brandenburg;Mittlerer Schulabschluss;2757;2813;5570
2010/11;Brandenburg;Fachhochschulreife;4;-;4
2010/11;Brandenburg;Allgemeine Hochschulreife;3014;3675;6689
2010/11;Bremen;Ohne Hauptschulabschluss;294;188;482
2010/11;Bremen;Hauptschulabschluss;933;761;1694
2010/11;Bremen;Mittlerer Schulabschluss;1370;1393;2763
2010/11;Bremen;Fachhochschulreife;61;79;140
2010/11;Bremen;Allgemeine Hochschulreife;1308;1552;2860
2010/11;Hamburg;Ohne Hauptschulabschluss;591;429;1020
2010/11;Hamburg;Hauptschulabschluss;1371;988;2359
2010/11;Hamburg;Mittlerer Schulabschluss;1767;1563;3330
2010/11;Hamburg;Fachhochschulreife;223;237;460
2010/11;Hamburg;Allgemeine Hochschulreife;3309;4036;7345
2010/11;Hessen;Ohne Hauptschulabschluss;1980;1390;3370
2010/11;Hessen;Hauptschulabschluss;7554;5340;12894
2010/11;Hessen;Mittlerer Schulabschluss;14075;13288;27363
2010/11;Hessen;Fachhochschulreife;904;1055;1959
2010/11;Hessen;Allgemeine Hochschulreife;8824;11560;20384
2010/11;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;820;525;1345
2010/11;Mecklenburg-Vorpommern;Hauptschulabschluss;676;463;1139
2010/11;Mecklenburg-Vorpommern;Mittlerer Schulabschluss;1942;1744;3686
2010/11;Mecklenburg-Vorpommern;Fachhochschulreife;136;158;294
2010/11;Mecklenburg-Vorpommern;Allgemeine Hochschulreife;1425;1668;3093
2010/11;Niedersachsen;Ohne Hauptschulabschluss;3090;1995;5085
2010/11;Niedersachsen;Hauptschulabschluss;7534;5161;12695
2010/11;Niedersachsen;Mittlerer Schulabschluss;21661;19677;41338
2010/11;Niedersachsen;Fachhochschulreife;741;806;1547
2010/11;Niedersachsen;Allgemeine Hochschulreife;18351;23754;42105
2010/11;Nordrhein-Westfalen;Ohne Hauptschulabschluss;6619;4583;11202
2010/11;Nordrhein-Westfalen;Hauptschulabschluss;20903;15363;36266
2010/11;Nordrhein-Westfalen;Mittlerer Schulabschluss;41854;40123;81977
2010/11;Nordrhein-Westfalen;Fachhochschulreife;3415;3714;7129
2010/11;Nordrhein-Westfalen;Allgemeine Hochschulreife;32099;40314;72413
2010/11;Rheinland-Pfalz;Ohne Hauptschulabschluss;1501;968;2469
2010/11;Rheinland-Pfalz;Hauptschulabschluss;5433;3900;9333
2010/11;Rheinland-Pfalz;Mittlerer Schulabschluss;9093;8957;18050
2010/11;Rheinland-Pfalz;Fachhochschulreife;365;420;785
2010/11;Rheinland-Pfalz;Allgemeine Hochschulreife;5936;7832;13768
2010/11;Saarland;Ohne Hauptschulabschluss;299;188;487
2010/11;Saarland;Hauptschulabschluss;1548;1171;2719
2010/11;Saarland;Mittlerer Schulabschluss;1673;1709;3382
2010/11;Saarland;Fachhochschulreife;59;51;110
2010/11;Saarland;Allgemeine Hochschulreife;1376;1710;3086
2010/11;Sachsen;Ohne Hauptschulabschluss;1396;863;2259
2010/11;Sachsen;Hauptschulabschluss;1734;1089;2823
2010/11;Sachsen;Mittlerer Schulabschluss;5759;5433;11192
2010/11;Sachsen;Fachhochschulreife;-;-;-
2010/11;Sachsen;Allgemeine Hochschulreife;3020;3654;6674
2010/11;Sachsen-Anhalt;Ohne Hauptschulabschluss;1063;675;1738
2010/11;Sachsen-Anhalt;Hauptschulabschluss;1457;970;2427
2010/11;Sachsen-Anhalt;Mittlerer Schulabschluss;3253;2919;6172
2010/11;Sachsen-Anhalt;Fachhochschulreife;180;186;366
2010/11;Sachsen-Anhalt;Allgemeine Hochschulreife;1722;2202;3924
2010/11;Schleswig-Holstein;Ohne Hauptschulabschluss;1349;794;2143
2010/11;Schleswig-Holstein;Hauptschulabschluss;4513;3374;7887
2010/11;Schleswig-Holstein;Mittlerer Schulabschluss;5362;5612;10974
2010/11;Schleswig-Holstein;Fachhochschulreife;295;358;653
2010/11;Schleswig-Holstein;Allgemeine Hochschulreife;3805;4577;8382
2010/11;Thüringen;Ohne Hauptschulabschluss;702;455;1157
2010/11;Thüringen;Hauptschulabschluss;1216;836;2052
2010/11;Thüringen;Mittlerer Schulabschluss;3033;2842;5875
2010/11;Thüringen;Fachhochschulreife;-;-;-
2010/11;Thüringen;Allgemeine Hochschulreife;1942;2384;4326
2011/12;Baden-Württemberg;Ohne Hauptschulabschluss;3575;2376;5951
2011/12;Baden-Württemberg;Hauptschulabschluss;13295;10009;23304
2011/12;Baden-Württemberg;Mittlerer Schulabschluss;25364;25291;50655
2011/12;Baden-Württemberg;Fachhochschulreife;180;200;380
2011/12;Baden-Württemberg;Allgemeine Hochschulreife;27498;32040;59538
2011/12;Bayern;Ohne Hauptschulabschluss;3979;2480;6459
2011/12;Bayern;Hauptschulabschluss;20181;14228;34409
2011/12;Bayern;Mittlerer Schulabschluss;29302;30971;60273
2011/12;Bayern;Fachhochschulreife;9;4;13
2011/12;Bayern;Allgemeine Hochschulreife;17056;19699;36755
2011/12;Berlin;Ohne Hauptschulabschluss;1300;1039;2339
2011/12;Berlin;Hauptschulabschluss;3504;2691;6195
2011/12;Berlin;Mittlerer Schulabschluss;5040;4520;9560
2011/12;Berlin;Fachhochschulreife;-;-;-
2011/12;Berlin;Allgemeine Hochschulreife;7744;9411;17155
2011/12;Brandenburg;Ohne Hauptschulabschluss;925;514;1439
2011/12;Brandenburg;Hauptschulabschluss;1543;970;2513
2011/12;Brandenburg;Mittlerer Schulabschluss;3607;3204;6811
2011/12;Brandenburg;Fachhochschulreife;28;15;43
2011/12;Brandenburg;Allgemeine Hochschulreife;4285;5227;9512
2011/12;Bremen;Ohne Hauptschulabschluss;245;167;412
2011/12;Bremen;Hauptschulabschluss;911;713;1624
2011/12;Bremen;Mittlerer Schulabschluss;1409;1349;2758
2011/12;Bremen;Fachhochschulreife;40;53;93
2011/12;Bremen;Allgemeine Hochschulreife;1775;2114;3889
2011/12;Hamburg;Ohne Hauptschulabschluss;580;413;993
2011/12;Hamburg;Hauptschulabschluss;1413;1133;2546
2011/12;Hamburg;Mittlerer Schulabschluss;1756;1561;3317
2011/12;Hamburg;Fachhochschulreife;188;207;395
2011/12;Hamburg;Allgemeine Hochschulreife;3517;4266;7783
2011/12;Hessen;Ohne Hauptschulabschluss;2027;1324;3351
2011/12;Hessen;Hauptschulabschluss;7153;5208;12361
2011/12;Hessen;Mittlerer Schulabschluss;13863;13308;27171
2011/12;Hessen;Fachhochschulreife;796;1029;1825
2011/12;Hessen;Allgemeine Hochschulreife;9657;12085;21742
2011/12;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;783;483;1266
2011/12;Mecklenburg-Vorpommern;Hauptschulabschluss;764;557;1321
2011/12;Mecklenburg-Vorpommern;Mittlerer Schulabschluss;2137;1927;4064
2011/12;Mecklenburg-Vorpommern;Fachhochschulreife;181;200;381
2011/12;Mecklenburg-Vorpommern;Allgemeine Hochschulreife;1511;1822;3333
2011/12;Niedersachsen;Ohne Hauptschulabschluss;2899;1874;4773
2011/12;Niedersachsen;Hauptschulabschluss;7708;5162;12870
2011/12;Niedersachsen;Mittlerer Schulabschluss;21616;19723;41339
2011/12;Niedersachsen;Fachhochschulreife;855;924;1779
2011/12;Niedersachsen;Allgemeine Hochschulreife;12074;14602;26676
2011/12;Nordrhein-Westfalen;Ohne Hauptschulabschluss;6294;4397;10691
2011/12;Nordrhein-Westfalen;Hauptschulabschluss;20024;14743;34767
2011/12;Nordrhein-Westfalen;Mittlerer Schulabschluss;41352;39762;81114
2011/12;Nordrhein-Westfalen;Fachhochschulreife;3508;3674;7182
2011/12;Nordrhein-Westfalen;Allgemeine Hochschulreife;34718;42961;77679
