Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2010/11;SF275;Geschichte der Mathematik und Naturwissenschaft;4;2;6
WS 2010/11;SF195;Gesundheitspädagogik;50;366;416
WS 2010/11;SF215;Gesundheitstechnik;1099;804;1903
WS 2010/11;SF232;Gesundheitswissenschaften/-management;957;2411;3368
WS 2010/11;SF216;Glastechnik/Keramik;33;9;42
WS 2010/11;SF069;Grafikdesign/Kommunikationsgestaltung;1076;1480;2556
WS 2010/11;SF070;Griechisch;29;36;65
WS 2010/11;SF115;Grundschul-/Primärstufenpädagogik;47;383;430
WS 2010/11;SF071;Haushalts- und Ernährungswissenschaft;192;995;1187
WS 2010/11;SF333;Haushaltswissenschaft;-;24;24
WS 2010/11;SF073;Hebräisch/Judaistik;9;29;38
WS 2010/11;SF082;Holz-/Fasertechnik;190;20;210
WS 2010/11;SF197;Holzbau;137;19;156
WS 2010/11;SF075;Holzwirtschaft;40;7;47
WS 2010/11;SF076;Hütten- und Gießereiwesen;105;39;144
WS 2010/11;SF078;Indologie;9;10;19
WS 2010/11;SF203;Industriedesign/Produktgestaltung;240;249;489
WS 2010/11;SF079;Informatik;8904;1441;10345
WS 2010/11;SF123;Ingenieurinformatik/Technische Informatik;1264;131;1395
WS 2010/11;SF242;Innenarchitektur;88;493;581
WS 2010/11;SF261;Innere Verwaltung;334;525;859
WS 2010/11;SF080;Instrumentalmusik;545;650;1195
WS 2010/11;SF072;Interdisz. Studien (Schwerp. Ingenieurwissensch.);2024;645;2669
WS 2010/11;SF049;Interdisz. Studien (Schwerp. Naturwissenschaften);355;365;720
WS 2010/11;SF030;Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw);631;1101;1732
WS 2010/11;SF004;Interdisz.Studien (Schwerpkt.Sprach-u.Kulturwiss.);753;2731;3484
WS 2010/11;SF040;Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.);33;87;120
WS 2010/11;SF182;Internationale Betriebswirtschaft/Management;2807;4245;7052
WS 2010/11;SF081;Iranistik;12;22;34
WS 2010/11;SF292;Islamische Studien;-;-;-
WS 2010/11;SF083;Islamwissenschaft;76;120;196
WS 2010/11;SF084;Italienisch;30;220;250
WS 2010/11;SF085;Japanologie;173;388;561
WS 2010/11;SF164;Jazz und Popularmusik;135;43;178
WS 2010/11;SF252;Journalistik (ab 2008 zu SF303);-;-;-
WS 2010/11;SF168;Justizvollzug;17;21;38
WS 2010/11;SF280;Kartografie;113;77;190
WS 2010/11;SF545;Kath. Religionspäd., kirchliche Bildungsarbeit;42;62;104
WS 2010/11;SF086;Katholische Theologie, - Religionslehre;302;435;737
WS 2010/11;SF180;Kaukasistik;-;-;-
WS 2010/11;SF241;Kerntechnik/Kernverfahrenstechnik;-;-;-
WS 2010/11;SF193;Kirchenmusik;36;23;59
WS 2010/11;SF005;Klassische Philologie;25;35;60
WS 2010/11;SF222;Kommunikations- und Informationstechnik;1419;185;1604
WS 2010/11;SF303;Kommunikationswissenschaft/Publizistik;699;1761;2460
WS 2010/11;SF191;Komposition;30;13;43
WS 2010/11;SF087;Körperbehindertenpädagogik (ab 2016 zu SF190);13;27;40
WS 2010/11;SF047;Krankenpflege-Ausbildung (ab 2004 zu SF234);-;-;-
WS 2010/11;SF091;Kunsterziehung;126;554;680
WS 2010/11;SF092;Kunstgeschichte, Kunstwissenschaft;262;1434;1696
WS 2010/11;SF219;Kunststofftechnik;256;38;294
WS 2010/11;SF093;Landespflege/Landschaftsgestaltung;416;578;994
WS 2010/11;SF095;Latein;231;414;645
WS 2010/11;SF038;Lateinamerika;12;53;65
WS 2010/11;SF096;Lebensmittelchemie;110;297;407
WS 2010/11;SF097;Lebensmitteltechnologie;383;439;822
WS 2010/11;SF099;Lernbehindertenpädagogik (ab 2016 zu SF190);85;390;475
WS 2010/11;SF154;Lernbereich Gesellschaftslehre;8;14;22
WS 2010/11;SF186;Lernbereich Naturwissenschaft/Sachunterricht;17;45;62
WS 2010/11;SF090;Lernbereich Sprach- und Kulturwissenschaften;13;58;71
WS 2010/11;SF199;Lernbereich Technik;89;49;138
WS 2010/11;SF057;Luft- und Raumfahrttechnik;907;127;1034
WS 2010/11;SF204;Malerei;37;65;102
WS 2010/11;SF198;Managem.im Gesundh.-u.Sozialber.(ab 2004 zu SF232);-;-;-
WS 2010/11;SF103;Markscheidewesen;7;2;9
WS 2010/11;SF104;Maschinenbau/-wesen;16687;1736;18423
WS 2010/11;SF294;Materialwissenschaften;-;-;-
WS 2010/11;SF105;Mathematik;4600;5587;10187
WS 2010/11;SF237;Mathematische Statistik/Wahrscheinlichkeitsrechn.;94;72;166
WS 2010/11;SF380;Mechatronik;2526;201;2727
WS 2010/11;SF121;Medieninformatik;1638;755;2393
