"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Cuba","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","112.8",""
"Cuba","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","111.6",""
"Cuba","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","106.3",""
"Cuba","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.0",""
"Cuba","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.3",""
"Cuba","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","129.8",""
"Cuba","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.5",""
"Cuba","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","112.7",""
"Cuba","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.9",""
"Cuba","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","91.7",""
"Cyprus","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","118.8",""
"Cyprus","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.4",""
"Cyprus","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.5",""
"Cyprus","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.7",""
"Cyprus","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","117.1",""
"Cyprus","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.2",""
"Cyprus","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.8",""
"Cyprus","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","123.9",""
"Cyprus","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.6",""
"Cyprus","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","118.9",""
"Cyprus","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","142.8",""
"Cyprus","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","141.1",""
"Cyprus","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","135.5",""
"Cyprus","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.2",""
"Cyprus","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","122.2",""
"Czech Republic","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","142.2",""
"Czech Republic","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","147.5",""
"Czech Republic","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","149.5",""
"Czech Republic","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","151.1",""
"Czech Republic","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","150.7",""
"Czech Republic","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","156.2",""
"Czech Republic","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.9",""
"Czech Republic","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","163.0",""
"Czech Republic","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","165.3",""
"Czech Republic","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","165.1",""
"Czech Republic","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","228.4",""
"Czech Republic","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","238.5",""
"Czech Republic","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","235.5",""
"Czech Republic","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","241.0",""
"Czech Republic","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","250.1",""
"Denmark","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","123.3",""
"Denmark","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","129.4",""
"Denmark","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.9",""
"Denmark","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","133.4",""
"Denmark","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","131.9",""
"Denmark","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","133.6",""
"Denmark","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","139.5",""
"Denmark","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","142.1",""
"Denmark","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","142.3",""
"Denmark","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","140.4",""
"Denmark","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","197.0",""
"Denmark","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","202.6",""
"Denmark","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","204.2",""
"Denmark","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","204.7",""
"Denmark","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","197.3",""
"Djibouti","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.8",""
"Djibouti","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.6",""
"Djibouti","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.8",""
"Djibouti","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","123.2",""
"Djibouti","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.5",""
"Djibouti","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","125.5",""
"Djibouti","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","127.0",""
"Djibouti","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","128.3",""
"Djibouti","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","129.7",""
"Djibouti","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.8",""
"Djibouti","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","157.5",""
"Djibouti","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.0",""
"Djibouti","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.7",""
"Djibouti","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.7",""
"Djibouti","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.6",""
"Dominican Republic","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.2",""
"Dominican Republic","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.1",""
"Dominican Republic","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","94.7",""
"Dominican Republic","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","91.9",""
"Dominican Republic","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","90.0",""
"Dominican Republic","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.2",""
"Dominican Republic","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.8",""
"Dominican Republic","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","95.4",""
"Dominican Republic","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","93.1",""
"Dominican Republic","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","91.7",""
"Dominican Republic","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","108.6",""
"Dominican Republic","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.7",""
"Dominican Republic","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.8",""
"Dominican Republic","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.7",""
"Dominican Republic","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","107.7",""
"Ecuador","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","111.4",""
"Ecuador","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","111.3",""
"Ecuador","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","111.4",""
"Ecuador","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","111.2",""
"Ecuador","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","111.1",""
"Ecuador","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","114.2",""
"Ecuador","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","114.2",""
"Ecuador","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","114.3",""
"Ecuador","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","114.3",""
"Ecuador","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","114.4",""
"Ecuador","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","128.2",""
"Ecuador","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.7",""
"Ecuador","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.6",""
"Ecuador","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","133.6",""
"Ecuador","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","134.0",""
"Egypt","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","117.6",""
"Egypt","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","118.2",""
"Egypt","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","117.8",""
"Egypt","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","116.1",""
"Egypt","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","116.5",""
"Egypt","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.4",""
"Egypt","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","123.7",""
"Egypt","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.0",""
"Egypt","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.8",""
"Egypt","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.5",""
"Egypt","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","144.0",""
"Egypt","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","141.0",""
"Egypt","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","135.8",""
"Egypt","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","133.3",""
"Egypt","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.8",""
"El Salvador","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","125.2",""
"El Salvador","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.6",""
"El Salvador","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.2",""
"El Salvador","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","122.2",""
"El Salvador","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.8",""
"El Salvador","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.8",""
"El Salvador","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.1",""
"El Salvador","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.0",""
"El Salvador","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","127.7",""
"El Salvador","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","127.5",""
"El Salvador","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","171.6",""
"El Salvador","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","172.0",""
"El Salvador","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","174.3",""
"El Salvador","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","167.0",""
"El Salvador","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","164.7",""
"Equatorial Guinea","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.4",""
"Equatorial Guinea","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.4",""
"Equatorial Guinea","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.0",""
"Equatorial Guinea","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.7",""
"Equatorial Guinea","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.1",""
"Equatorial Guinea","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","123.5",""
"Equatorial Guinea","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.3",""
"Equatorial Guinea","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","125.7",""
"Equatorial Guinea","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","125.7",""
"Equatorial Guinea","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.0",""
"Equatorial Guinea","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","149.1",""
"Equatorial Guinea","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","149.9",""
"Equatorial Guinea","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","149.8",""
"Equatorial Guinea","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","150.2",""
"Equatorial Guinea","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","148.8",""
"Eritrea","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","148.4",""
"Eritrea","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","146.4",""
"Eritrea","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","141.1",""
"Eritrea","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","127.4",""
"Eritrea","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","118.1",""
"Eritrea","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","160.5",""
"Eritrea","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.1",""
"Eritrea","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","152.4",""
"Eritrea","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","135.0",""
"Eritrea","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","123.3",""
"Eritrea","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","222.4",""
"Eritrea","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","224.0",""
"Eritrea","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","197.3",""
"Eritrea","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","151.5",""
"Eritrea","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","131.4",""
"Estonia","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","183.8",""
"Estonia","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","182.9",""
"Estonia","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","187.3",""
"Estonia","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","196.2",""
"Estonia","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","211.3",""
"Estonia","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","201.3",""
"Estonia","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","205.4",""
"Estonia","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","215.2",""
"Estonia","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","229.6",""
"Estonia","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","227.2",""
"Estonia","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","345.0",""
"Estonia","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","332.3",""
"Estonia","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","322.5",""
"Estonia","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","322.9",""
"Estonia","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","333.9",""
"Ethiopia","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","116.2",""
"Ethiopia","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","116.0",""
"Ethiopia","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","115.9",""
"Ethiopia","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","116.1",""
"Ethiopia","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","116.3",""
"Ethiopia","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.6",""
"Ethiopia","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.4",""
"Ethiopia","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.8",""
"Ethiopia","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.1",""
"Ethiopia","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.1",""
"Ethiopia","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","140.7",""
"Ethiopia","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","143.4",""
"Ethiopia","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","145.0",""
"Ethiopia","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","146.9",""
"Ethiopia","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","153.6",""
"Federated States of Micronesia","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.6",""
"Federated States of Micronesia","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","114.9",""
"Federated States of Micronesia","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","107.7",""
"Federated States of Micronesia","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","108.5",""
"Federated States of Micronesia","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.7",""
"Federated States of Micronesia","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","121.8",""
"Federated States of Micronesia","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","118.3",""
"Federated States of Micronesia","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.4",""
"Federated States of Micronesia","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","111.8",""
"Federated States of Micronesia","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.3",""
"Federated States of Micronesia","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.6",""
"Federated States of Micronesia","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","131.6",""
"Federated States of Micronesia","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","149.2",""
"Federated States of Micronesia","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","112.9",""
"Federated States of Micronesia","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","108.1",""
"Fiji","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.4",""
"Fiji","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","115.6",""
"Fiji","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","108.7",""
"Fiji","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.6",""
"Fiji","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","97.1",""
"Fiji","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","127.1",""
"Fiji","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","120.4",""
"Fiji","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","113.0",""
"Fiji","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","105.9",""
"Fiji","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","99.3",""
"Fiji","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","162.5",""
"Fiji","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","150.1",""
"Fiji","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","139.0",""
"Fiji","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","125.8",""
"Fiji","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","113.9",""
"Finland","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","137.2","5"
"Finland","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","145.5","5"
"Finland","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","153.1","5"
"Finland","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","160.7","5"
"Finland","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","167.5","5"
"Finland","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","150.6","5"
"Finland","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","160.9","5"
"Finland","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","171.1","5"
"Finland","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","182.1","5"
"Finland","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","184.3","5"
"Finland","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","248.5","5"
"Finland","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","268.5","5"
"Finland","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","264.4","5"
"Finland","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","264.6","5"
"Finland","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","265.8","5"
"France","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","134.2",""
"France","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","136.1",""
"France","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.2",""
"France","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","141.8",""
"France","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","145.1",""
"France","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","144.1",""
"France","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","145.7",""
"France","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","148.8",""
"France","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","154.4",""
"France","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.9",""
"France","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","207.3",""
"France","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","215.0",""
"France","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","218.2",""
