"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Angola","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","160.6",""
"Angola","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","161.5",""
"Angola","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","161.8",""
"Argentina","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.0",""
"Argentina","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","136.5",""
"Argentina","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","133.3",""
"Argentina","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.3",""
"Argentina","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","127.2",""
"Argentina","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","148.8",""
"Argentina","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","145.7",""
"Argentina","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","141.5",""
"Argentina","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.8",""
"Argentina","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","134.8",""
"Argentina","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","212.9",""
"Argentina","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","204.4",""
"Argentina","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","187.5",""
"Argentina","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","176.5",""
"Argentina","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","165.6",""
"Armenia","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","146.8",""
"Armenia","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.9",""
"Armenia","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.2",""
"Armenia","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","144.7",""
"Armenia","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.1",""
"Armenia","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","148.5",""
"Armenia","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","146.3",""
"Armenia","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","152.5",""
"Armenia","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","172.2",""
"Armenia","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","169.5",""
"Armenia","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","229.8",""
"Armenia","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","239.5",""
"Armenia","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","202.9",""
"Armenia","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","184.5",""
"Armenia","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","171.3",""
"Aruba","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.3",""
"Aruba","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.4",""
"Aruba","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.4",""
"Aruba","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.6",""
"Aruba","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.8",""
"Aruba","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.1",""
"Aruba","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","137.4",""
"Aruba","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","143.9",""
"Aruba","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","139.5",""
"Aruba","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","137.0",""
"Aruba","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","180.1",""
"Aruba","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","180.4",""
"Aruba","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","177.5",""
"Aruba","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","160.3",""
"Aruba","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","170.0",""
"Australia","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","115.7","1"
"Australia","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","119.1","1"
"Australia","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","122.3","1"
